주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
166-2-000045,삼산해돋이,공영,노외,인천광역시 부평구 충선로311번길 31(삼산동) 일원,인천광역시 부평구 삼산동 428-1,48,3,요일제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,30,400,15,200,300,4000,40000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.5169041,126.7334848,2021-01-04,3540000,인천광역시 부평구
166-2-000046,일신동,공영,노외,인천광역시 부평구 일신로40번길 62(일신동) 일원,인천광역시 부평구 일신동 171-7,6,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,인천광역시 부평구시설관리공단,032-262-9220,37.48173752,126.7423648,2021-01-04,3540000,인천광역시 부평구
166-2-000047,길주로339번길,공영,노외,인천광역시 부평구 길주로339번길 32-9(산곡동) 일원,인천광역시 부평구 산곡동 산132,27,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,인천광역시 부평구시설관리공단,032-262-9220,37.50984136,126.6981245,2021-01-04,3540000,인천광역시 부평구
166-2-000048,부평시장대정,공영,노외,인천광역시 부평구 주부토로 19(부평동) 일원,인천광역시 부평구 부평동 374-5,105,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,15,300,300,0,60000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.4971589,126.724511,2021-01-04,3540000,인천광역시 부평구
166-2-000049,인천나비공원,공영,노외,인천광역시 부평구 평천로54번길 1,인천광역시 부평구 청천동 125-3,107,3,요일제,평일+토요일+공휴일,09:00,19:00,09:00,17:00,00:00,00:00,유료,30,400,15,200,300,4000,40000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.520771,126.6981589,2021-01-04,3540000,인천광역시 부평구
166-2-000050,부원,공영,노외,인천광역시 부평구 경원대로1347번길 12(부평동) 일원,인천광역시 부평구 부평동 341-193,111,1,요일제,평일+토요일+공휴일,10:30,20:30,10:30,20:30,10:30,20:30,유료,30,1000,15,500,300,10000,100000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49171809,126.7191122,2021-01-04,3540000,인천광역시 부평구
166-2-000051,부평깡시장,공영,노외,인천광역시 부평구 부흥로 315(부평동) 일원,인천광역시 부평구 부평동 416-9,128,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,15,300,300,0,60000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49867037,126.726853,2021-01-04,3540000,인천광역시 부평구
166-2-000052,부평삼거리역,공영,노외,인천광역시 부평구 경인로759번길 8(부평동) 일원,인천광역시 부평구 십정동 576-9,73,3,요일제,평일+토요일,09:00,19:00,09:00,17:00,00:00,00:00,유료,30,400,15,200,300,4000,40000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.4775567,126.7096235,2021-01-04,3540000,인천광역시 부평구
166-2-000053,수변로85번길,공영,노외,인천광역시 부평구 수변로85번길 34-29(부개동) 일원,인천광역시 부평구 부개동 120-74,29,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,0,0,0,0,30000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49463026,126.739602,2021-01-04,3540000,인천광역시 부평구
406-2-000033,하모리 제주은행맞은편,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 846-11,18,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,,126.253279,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000034,아랑조을거리주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 312-6,37,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,현금. 신용카드,"①유공납세자(선정일로부터 1년간), 감면액 이상의 자원봉사마일리지 소지자, 장애정도가 심한 장애인 1일 1차례 3시간 면제, ②경차, 저공해차, 전기차, 4.3 희생자 및 유족 50 감면. ③최근 2년 이내 헌혈증 소지자, 장애정도가 심하지 않은 장애인, 국가유공자, 5.18민주유공자, 고엽제 후유의증 환자, 임산부, 다자녀가정, 의사상자, 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료",제주특별자치도 서귀포시청,064-760-3132,33.247784,126.560306,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000035,성산읍사무소 옆,공영,노외,,제주특별자치도 서귀포시 성산읍 고성리 1022-8,31,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4293,33.442407,126.911426,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000036,쇠소깍,공영,노외,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,54,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.254249,126.622494,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000037,고성리 원광어린이집 인근,공영,노외,,제주특별자치도 서귀포시 성산읍 고성리 1089,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.449139,126.910826,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000038,천지공영주차빌딩,공영,노외,,제주특별자치도 서귀포시 서귀동 305-1,220,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,현금. 신용카드,"①유공납세자(선정일로부터 1년간), 감면액 이상의 자원봉사마일리지 소지자, 장애정도가 심한 장애인 1일 1차례 3시간 면제, ②경차, 저공해차, 전기차, 4.3 희생자 및 유족 50 감면. ③최근 2년 이내 헌혈증 소지자, 장애정도가 심하지 않은 장애인, 국가유공자, 5.18민주유공자, 고엽제 후유의증 환자, 임산부, 다자녀가정, 의사상자, 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료",제주특별자치도 서귀포시청,064-760-3132,33.25152344,126.5593512,2021-04-18,6520000,제주특별자치도 서귀포시
150-4-000127,태산유료주차장,민영,노외,대구광역시 중구 경상감영길 42(서문로1가),대구광역시 중구 서문로1가 77-1,14,1,미시행,평일+토요일,08:00,22:00,08:00,22:00,00:00,00:00,유료,30,1000,30,1000,,,,현금,,태산유료주차장,053-257-7674,35.8712498160,128.5899208114,2019-06-21,3410000,대구광역시 중구
150-4-000128,정덕유료주차장,민영,노외,대구광역시 중구 중앙대로79길 31,대구광역시 중구 종로2가 12,15,1,미시행,평일+토요일,08:00,23:59,08:00,23:59,00:00,00:00,유료,60,1500,60,1500,,,,현금,,정덕유료주차장,053-253-7567,35.869032,128.5920802,2019-06-21,3410000,대구광역시 중구
150-4-000129,신동영유료주차장,민영,노외,대구광역시 중구 북성로 108,대구광역시 중구 북성로1가 80-4,11,1,미시행,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,30,1000,30,1000,8,5000,70000,현금,,신동영유료주차장,053-123-4567,35.8744185,128.5941912,2019-06-21,3410000,대구광역시 중구
150-4-000130,문화유료주차장,민영,노외,대구광역시 중구 동성로12길 22,대구광역시 중구 문화동 12-20,32,1,미시행,평일+토요일,09:00,21:00,09:00,21:00,00:00,00:00,유료,30,1000,,,,,,현금,,문화유료주차장,053-421-6390,35.871384,128.596975,2019-06-21,3410000,대구광역시 중구
150-4-000131,삼덕유료주차장,민영,노외,대구광역시 중구 공평로10길 18(삼덕동2가),대구광역시 중구 삼덕동2가 17-1,42,1,미시행,평일+토요일,09:00,23:59,09:00,23:59,00:00,00:00,유료,30,600,30,600,,,,현금,"1시간 1,200원",삼덕유료주차장,053-424-6770,35.867760,128.6008429970,2019-06-21,3410000,대구광역시 중구
150-4-000132,국제유료주차장,민영,노외,대구광역시 중구 국채보상로102길 18,대구광역시 중구 동산동 180-1,30,1,미시행,평일+토요일,08:00,22:00,08:00,22:00,00:00,00:00,유료,30,1000,30,1000,,,,현금,,국제유료주차장,053-257-7037,35.869597,128.5854985633,2019-06-21,3410000,대구광역시 중구
150-4-000133,봉산유료주차장,민영,노외,대구광역시 중구 동성로1길 63,대구광역시 중구 봉산동 25-7,13,1,미시행,평일+토요일,10:00,23:00,10:00,23:00,00:00,00:00,유료,30,1000,,,,,,현금,"1시간 2,200원",봉산유료주차장,053-123-4567,35.865693,128.5968799,2019-06-21,3410000,대구광역시 중구
136-1-000007,대동교회 주변,공영,노상,부산광역시 남구 수영로249번길,부산광역시 남구 수영로249번길,8,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,대연5동 주민자치위원회,051-607-6686,,,2020-12-22,3310000,부산광역시 남구
136-1-000008,경성하이빌 주변,공영,노상,부산광역시 남구 동명로100번길,"부산광역시 남구 용호1동 423-7, 419-59",13,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,용호1동 주민자치위원회,051-607-6724,,,2020-12-22,3310000,부산광역시 남구
136-1-000010,(구)대연3동주민센터 주변,공영,노상,"부산광역시 남구 용소로28번길, 34번길","부산광역시 남구 대연3동 393-27, 362-30, 510-23",8,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,대연3동주민자치위원회,051-607-6644,,,2020-12-22,3310000,부산광역시 남구
136-2-000010,동명로157번길 공영주차장,공영,노외,부산광역시 남구 동명로157번길,"부산광역시 남구 용호동 373-15,17번지",23,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,용호3동 단체장협의회,051-607-6762,,,2020-12-22,3310000,부산광역시 남구
136-1-000011,수영로325번길(번영로아래),공영,노상,부산광역시 남구 수영로325번길,부산광역시 남구 대연3동 217-6,49,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,대연3동새마을지도자협의회,051-607-6644,,,2020-12-22,3310000,부산광역시 남구
136-2-000011,용호로232번길 공영주차장,공영,노외,부산광역시 남구 용호로232번길,"부산광역시 남구 용호4동 536-1, 536-5",28,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,용호4동 주민자치위원회,051-607-6782,,,2020-12-22,3310000,부산광역시 남구
136-1-000012,용호4동 주민센터 주변,공영,노상,부산광역시 남구 동명로132번길 81~148,부산광역시 남구 동명로 132번길 81-148,24,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,용호4동 주민자치위원회,051-607-6782,,,2020-12-22,3310000,부산광역시 남구
136-1-000013,해군아파트아래 담장길,공영,노상,부산광역시 남구 동명로118번길 125~143,부산광역시 남구 용호4동 동명로 118번길 125~143,11,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,용호4동 주민자치위원회,051-607-6782,,,2020-12-22,3310000,부산광역시 남구
136-1-000014,유엔평화로 153번길,공영,노상,부산광역시 남구 유엔평화로153번길 20~48,부산광역시 남구 유엔평화로153번길 20~48,9,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,40000,,,,,40000,"고지서, 카드결제, 자동이체",,용당동 주민자치위원장,051-607-6802,,,2020-12-22,3310000,부산광역시 남구
000-2-000057,윗소사,공영,노외,경기도 부천시 소사로 177번길 19,경기도 부천시 소사본동 179,171,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화,경기도 부천도시공사,032-340-0997,37.47405869,126.7945737,2020-10-22,3860000,경기도 부천시
000-2-000058,중앙공원,공영,노외,경기도 부천시 소향로 164,경기도 부천시 중동 1177-1,982,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화,경기도 부천도시공사,032-340-0997,37.50136599,126.7653349,2020-10-22,3860000,경기도 부천시
000-2-000059,춘의동 임시,공영,노외,경기도 부천시 부천로 163,경기도 부천시 춘의동 212-8,56,3,미시행,평일,10:00,18:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,40000,신용카드,"토, 일, 공휴일 개방/야간거주자",경기도 부천도시공사,032-340-0923,37.49888209,126.7858161,2020-10-22,3860000,경기도 부천시
000-2-000060,한신철골,공영,노외,경기도 부천시 은성로 68번길 46,경기도 부천시 소사본동 200-1,216,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화,경기도 부천도시공사,032-340-0997,37.47312398,126.7980175,2020-10-22,3860000,경기도 부천시
000-3-000062,난장,공영,부설,경기도 부천시 길주로 1,경기도 부천시 상동 529-2,300,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,400,10,200,0,5000,90000,신용카드,연중무휴<화물차 전용 주차장>,경기도 부천도시공사,032-340-0923,37.50905498,126.7456182,2020-10-22,3860000,경기도 부천시
000-3-000063,복사골문화센터,공영,부설,경기도 부천시 장말로 107,경기도 부천시 상동 394-2,182,기타,미시행,평일,10:00,19:00,00:00,00:00,00:00,00:00,유료,30,400,10,200,310,6000,,신용카드,"토, 일, 공휴일 개방<밤 11시 주차장 폐쇄>",경기도 부천도시공사,032-340-0923,37.49478407,126.7542147,2020-10-22,3860000,경기도 부천시
000-3-000064,소사어울마당,공영,부설,경기도 부천시 경인옛로 73,경기도 부천시 소사본동 64,239,기타,미시행,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,30,400,10,200,310,6000,,신용카드,"토, 일, 공휴일 개방",경기도 부천도시공사,032-340-0923,37.48004701,126.799948,2020-10-22,3860000,경기도 부천시
000-3-000065,송내어울마당,공영,부설,경기도 부천시 경인로 92번길 33,경기도 부천시 송내동 387-4,118,기타,미시행,평일,11:00,19:00,00:00,00:00,00:00,00:00,유료,30,400,10,200,310,6000,,신용카드,"토, 일, 공휴일 개방",경기도 부천도시공사,032-340-0923,37.48250133,126.7665427,2020-10-22,3860000,경기도 부천시
183-1-000031,용운동 일반통행길(하행길),공영,노상,대전광역시 동구 계족로140번길,대전광역시 동구 용운동 447-6~489-7번지선,21,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,,,2019-03-07,6300000,대전광역시
183-1-000032,용운동 일방통행길(상행길),공영,노상,대전광역시 동구 용운로67,대전광역시 동구 용운동 487~451-18,38,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,,,2019-03-07,6300000,대전광역시
207-1-000048,신한대 앞,공영,노상,경기도 의정부시 호원동 119-30,경기도 의정부시 망월로 10 인근 도로변,21,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,0,,,,,,,,경기도 의정부시 시설관리공단,031-828-6845,37.707983,127.046542,2020-12-01,3820000,경기도 의정부시
207-1-000049,용현동 세아1차아파트 앞,공영,노상,경기도 의정부시 용현동 390-27,경기도 의정부시 시민로387번길 52 인근 도로변,22,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,0,,,,,,,,경기도 의정부시 시설관리공단,031-828-6845,37.738253,127.077562,2020-12-01,3820000,경기도 의정부시
207-1-000050,금오동 거성아파트 앞,공영,노상,경기도 의정부시 금오동 120-10,경기도 의정부시 상금로 25 인근 도로변,59,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,0,,,,,,,,경기도 의정부시 시설관리공단,031-828-6845,37.757466,127.074761,2020-12-01,3820000,경기도 의정부시
207-1-000051,민락동 버스공영차고지 앞,공영,노상,경기도 의정부시 낙양동 635-7,경기도 의정부시 송현로 128 인근 도로변,18,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,0,,,,,,,,경기도 의정부시 시설관리공단,031-828-6845,37.748077,127.085899,2020-12-01,3820000,경기도 의정부시
207-1-000052,용현산업단지,공영,노상,경기도 의정부시 용현동 539,경기도 의정부시 산단로76번길 116 인근 도로변,147,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,0,,,,,,,대형차량 포함,경기도 의정부시 시설관리공단,031-828-6845,37.743036,127.083172,2020-12-01,3820000,경기도 의정부시
344-2-000017,군청사내,공영,노외,전라남도 진도군 진도읍 철마길 25,전라남도 진도군 진도읍 성내리 64-1,90,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,60,0,0,0,0,0,0,0,무료,전라남도 진도군청,061-540-3492,34.48683211,126.2635764,2020-11-26,5000000,전라남도 진도군
344-2-000018,군청사뒤1,공영,노외,,전라남도 진도군 진도읍 교동리 157,35,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,60,0,0,0,0,0,0,0,무료,전라남도 진도군청,061-540-3492,34.487351,126.262933,2020-11-26,5000000,전라남도 진도군
344-2-000019,군청사뒤2,공영,노외,,전라남도 진도군 진도읍 교동리 149,85,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,60,0,0,0,0,0,0,0,무료,전라남도 진도군청,061-540-3492,34.48825911,126.2621779,2020-11-26,5000000,전라남도 진도군
344-2-000020,도서관부설,공영,노외,전라남도 진도군 진도읍 철마길 25,전라남도 진도군 진도읍 성내리 64-1,87,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,60,0,0,0,0,0,0,0,무료,전라남도 진도군청,061-540-3492,34.48683211,126.2635764,2020-11-26,5000000,전라남도 진도군
344-4-000001,남문주차장,민영,노외,전라남도 진도군 진도읍 남동3길 16-4,전라남도 진도군 진도읍 남동리 517-3,40,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,60,1000,60,1000,720,5000,50000,현금,"경차, 장애인 차량 50퍼센트 할인",전라남도 진도군청,061-540-3492,34.48233791,126.2631852,2020-11-26,5000000,전라남도 진도군
344-4-000002,철마주차장,민영,노외,전라남도 진도군 진도읍 철마길 2-2,전라남도 진도군 진도읍 성내리 43-16,30,1,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,60,1000,60,1000,720,6000,60000,현금,"경차, 장애인 차량 50퍼센트 할인",전라남도 진도군청,061-540-3492,34.48403189,126.2642633,2020-11-26,5000000,전라남도 진도군
344-4-000003,풍산주차장,민영,노외,,전라남도 진도군 진도읍 남동리 775-4,84,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,60,0,0,0,0,0,0,0,무료,전라남도 진도군청,061-540-3492,34.480221,126.262191,2020-11-26,5000000,전라남도 진도군
000-2-000048,심곡본동철골,공영,노외,경기도 부천시 경인로 224번길 54,경기도 부천시 심곡본동 656,172,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화,경기도 부천도시공사,032-340-0997,37.48088675,126.7796898,2020-10-22,3860000,경기도 부천시
000-2-000049,심곡지하,공영,노외,경기도 부천시 부천로 54번길 23,경기도 부천시 심곡동 159,160,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화,경기도 부천도시공사,032-340-0997,37.48916435,126.7847181,2020-10-22,3860000,경기도 부천시
000-2-000050,안중근공원,공영,노외,,경기도 부천시 중동 1167,96,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,900,10,400,310,9500,,신용카드,무인 자동화,경기도 부천도시공사,032-340-0997,,,2020-10-22,3860000,경기도 부천시
000-2-000051,오정2호,공영,노외,경기도 부천시 부천로 453,"경기도 부천시 오정동 609-2,3",144,3,미시행,평일+토요일+공휴일,07:00,19:00,00:00,00:00,00:00,00:00,유료,0,0,0,0,0,0,0,계좌이체,월정기 전용,경기도 부천도시공사,032-340-0925,37.524308,126.7836257,2020-10-22,3860000,경기도 부천시
000-2-000052,오정도서관 부지,공영,노외,,경기도 부천시 오정동 160-11,80,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,,무료,공무원 전용,경기도 부천도시공사,032-340-0923,,,2020-10-22,3860000,경기도 부천시
000-2-000053,오정산업단지,공영,노외,,경기도 부천시 오정동 760,69,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화,경기도 부천도시공사,032-340-0997,,,2020-10-22,3860000,경기도 부천시
000-2-000054,원미지하,공영,노외,경기도 부천시 부천로 90번길 51,경기도 부천시 원미동 127-5,143,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,50000,신용카드,무인 자동화,경기도 부천도시공사,032-340-0997,37.49196507,126.7873104,2020-10-22,3860000,경기도 부천시
000-2-000055,원미철골,공영,노외,,경기도 부천시 원미동 134-15,48,3,미시행,평일,11:00,19:00,00:00,00:00,00:00,00:00,유료,30,300,10,200,220,4000,50000,신용카드,토+ 일+ 공휴일 개방,경기도 부천도시공사,032-340-0923,,,2020-10-22,3860000,경기도 부천시
000-2-000056,원종철골,공영,노외,경기도 부천시 소사로 774,"경기도 부천시 원종동 277-16,17,18",82,1,미시행,평일+토요일+공휴일,08:00,23:00,08:00,22:00,08:00,22:00,유료,30,900,10,400,310,9500,100000,신용카드,설+추석 개방,경기도 부천도시공사,032-340-0923,37.52507359,126.8052172,2020-10-22,3860000,경기도 부천시
